location_x,location_y,body_part,outcome,shot_type
108.3,28.1,Left Foot,Saved,Open Play
107.6,54.3,Left Foot,Blocked,Open Play
113.0,32.0,Right Foot,Saved,Open Play
116.4,43.2,Left Foot,Goal,Open Play
112.8,32.1,Left Foot,Saved,Open Play
111.6,42.9,Right Foot,Saved,Open Play
98.6,48.5,Right Foot,Saved,Open Play
111.8,33.5,Head,Off T,Open Play
102.2,45.0,Left Foot,Off T,Open Play
107.2,41.1,Head,Blocked,Open Play
97.8,51.7,Right Foot,Off T,Open Play
111.9,39.5,Right Foot,Blocked,Open Play
108.5,42.2,Right Foot,Saved,Open Play
110.8,29.0,Left Foot,Off T,Open Play
115.1,44.3,Head,Wayward,Open Play
96.3,40.3,Left Foot,Off T,Open Play
110.5,55.0,Right Foot,Saved,Open Play
107.6,52.2,Left Foot,Off T,Open Play
109.4,30.2,Left Foot,Goal,Open Play
95.8,33.8,Right Foot,Saved,Open Play
111.1,31.6,Left Foot,Off T,Open Play
105.8,28.7,Left Foot,Off T,Open Play
92.2,25.8,Right Foot,Saved,Open Play
104.8,37.5,Left Foot,Blocked,Open Play
111.4,37.7,Head,Goal,Open Play
111.8,35.9,Right Foot,Goal,Open Play
91.9,40.8,Left Foot,Blocked,Free Kick
113.3,46.1,Left Foot,Blocked,Open Play
99.9,28.3,Right Foot,Blocked,Free Kick
99.8,40.0,Left Foot,Off T,Open Play
88.7,35.6,Right Foot,Blocked,Free Kick
110.8,41.0,Head,Blocked,Open Play
108.3,42.6,Left Foot,Goal,Open Play
112.8,35.2,Head,Off T,Open Play
105.5,46.2,Right Foot,Saved,Open Play
108.0,40.1,Right Foot,Goal,Penalty
115.8,51.8,Right Foot,Saved,Open Play
94.9,29.5,Left Foot,Blocked,Open Play
94.6,54.1,Left Foot,Saved,Open Play
107.8,39.9,Left Foot,Goal,Penalty
91.6,47.8,Right Foot,Blocked,Open Play
112.2,33.0,Head,Off T,Open Play
102.1,49.4,Left Foot,Blocked,Open Play
95.9,52.9,Right Foot,Post,Open Play
86.9,49.6,Right Foot,Off T,Open Play
108.0,40.0,Left Foot,Goal,Penalty
105.1,47.1,Right Foot,Blocked,Open Play
112.2,37.2,Right Foot,Off T,Open Play
104.4,31.5,Left Foot,Blocked,Open Play
112.8,41.5,Head,Off T,Open Play
109.8,39.4,Left Foot,Blocked,Open Play
98.4,48.3,Left Foot,Blocked,Open Play
94.5,45.9,Right Foot,Off T,Open Play
105.8,32.3,Head,Off T,Open Play
107.1,41.3,Left Foot,Saved,Open Play
100.5,40.4,Right Foot,Blocked,Open Play
110.8,39.2,Right Foot,Post,Open Play
95.2,28.3,Right Foot,Saved,Open Play
93.3,34.3,Left Foot,Blocked,Free Kick
84.4,45.8,Left Foot,Wayward,Open Play
112.4,30.3,Right Foot,Goal,Open Play
112.2,41.5,Right Foot,Goal,Open Play
106.8,42.9,Head,Goal,Open Play
106.4,22.7,Right Foot,Blocked,Open Play
112.1,37.4,Head,Off T,Open Play
112.8,42.8,Head,Goal,Open Play
106.3,30.2,Right Foot,Wayward,Open Play
92.9,47.6,Right Foot,Saved,Open Play
113.5,37.7,Left Foot,Off T,Open Play
92.7,45.8,Right Foot,Saved,Open Play
108.2,37.8,Head,Goal,Open Play
100.4,40.6,Left Foot,Off T,Open Play
104.0,54.1,Left Foot,Off T,Open Play
112.6,50.5,Right Foot,Off T,Open Play
110.3,52.1,Right Foot,Off T,Open Play
112.5,40.9,Head,Off T,Open Play
118.2,39.0,Left Foot,Goal,Open Play
108.1,40.1,Right Foot,Goal,Penalty
95.3,33.8,Right Foot,Blocked,Open Play
111.8,45.9,Left Foot,Goal,Open Play
117.9,48.9,Right Foot,Saved,Open Play
119.3,38.1,Right Foot,Goal,Open Play
108.4,33.1,Left Foot,Wayward,Open Play
110.1,34.8,Head,Saved,Open Play
113.1,42.3,Head,Blocked,Open Play
100.8,55.0,Right Foot,Blocked,Open Play
108.6,42.9,Head,Blocked,Open Play
97.8,37.9,Left Foot,Saved to Post,Open Play
114.3,51.7,Right Foot,Blocked,Open Play
105.6,41.2,Right Foot,Goal,Open Play
104.6,37.7,Head,Saved Off Target,Open Play
103.3,58.5,Right Foot,Saved,Open Play
108.4,27.7,Left Foot,Saved,Open Play
113.7,39.7,Right Foot,Blocked,Open Play
94.0,50.0,Left Foot,Blocked,Free Kick
99.3,30.1,Left Foot,Off T,Open Play
113.7,45.2,Left Foot,Goal,Open Play
88.2,44.1,Right Foot,Saved,Open Play
112.6,41.0,Head,Off T,Open Play
111.0,49.5,Right Foot,Saved,Open Play
102.1,45.1,Left Foot,Saved,Open Play
111.6,49.6,Left Foot,Off T,Open Play
113.3,38.1,Left Foot,Off T,Open Play
87.1,34.2,Left Foot,Blocked,Free Kick
108.5,32.2,Left Foot,Saved,Open Play
99.3,28.4,Left Foot,Blocked,Open Play
112.0,32.6,Head,Off T,Open Play
104.2,42.2,Right Foot,Off T,Open Play
115.3,48.5,Left Foot,Saved,Open Play
103.2,35.9,Left Foot,Off T,Open Play
103.0,29.2,Right Foot,Blocked,Open Play
90.7,60.6,Right Foot,Off T,Open Play
112.9,42.0,Head,Off T,Open Play
114.0,24.4,Right Foot,Off T,Open Play
100.4,53.1,Right Foot,Saved,Open Play
108.1,39.0,Head,Saved,Open Play
108.3,49.7,Right Foot,Saved,Open Play
96.1,48.7,Left Foot,Blocked,Open Play
110.0,44.3,Head,Off T,Open Play
108.8,42.9,Head,Off T,Open Play
111.4,48.1,Right Foot,Goal,Open Play
109.8,26.8,Right Foot,Blocked,Open Play
107.1,40.7,Head,Wayward,Open Play
108.7,31.5,Left Foot,Saved,Open Play
115.8,50.9,Left Foot,Saved,Open Play
105.6,33.6,Right Foot,Wayward,Open Play
107.8,51.1,Right Foot,Saved,Open Play
103.0,30.7,Right Foot,Saved,Open Play
105.3,42.1,Right Foot,Goal,Open Play
107.8,27.6,Left Foot,Goal,Open Play
107.9,29.8,Right Foot,Blocked,Open Play
108.2,42.4,Head,Off T,Open Play
106.5,51.5,Right Foot,Blocked,Open Play
100.0,28.1,Right Foot,Saved,Open Play
104.3,45.6,Left Foot,Saved,Open Play
112.3,37.0,Head,Off T,Open Play
112.6,45.1,Head,Saved,Open Play
109.6,42.4,Right Foot,Saved,Open Play
117.0,28.5,Right Foot,Goal,Open Play
111.3,38.5,Left Foot,Saved,Open Play
116.2,32.5,Left Foot,Goal,Open Play
109.5,42.8,Right Foot,Blocked,Open Play
105.1,43.8,Right Foot,Blocked,Open Play
85.8,43.6,Right Foot,Off T,Open Play
110.9,56.7,Left Foot,Saved,Open Play
100.3,35.0,Left Foot,Off T,Open Play
108.0,42.5,Right Foot,Goal,Open Play
103.4,34.9,Right Foot,Off T,Open Play
107.1,35.7,Left Foot,Saved,Open Play
108.5,40.9,Left Foot,Wayward,Open Play
101.3,42.9,Right Foot,Goal,Open Play
109.1,21.9,Left Foot,Saved,Open Play
97.2,49.1,Left Foot,Saved,Open Play
104.1,31.9,Right Foot,Blocked,Open Play
95.4,38.7,Left Foot,Blocked,Open Play
111.4,53.3,Right Foot,Off T,Open Play
114.1,34.6,Head,Wayward,Open Play
102.6,46.5,Left Foot,Saved,Open Play
108.2,40.2,Left Foot,Goal,Penalty
105.3,28.5,Left Foot,Blocked,Open Play
90.4,38.5,Right Foot,Blocked,Open Play
105.4,34.2,Head,Saved,Open Play
73.0,74.7,Right Foot,Saved,Open Play
100.0,20.2,Right Foot,Goal,Open Play
99.0,37.8,Right Foot,Saved,Open Play
63.0,30.5,Right Foot,Off T,Open Play
109.2,45.6,Right Foot,Post,Open Play
113.6,29.2,Left Foot,Post,Open Play
96.9,36.6,Left Foot,Blocked,Free Kick
96.4,34.2,Right Foot,Off T,Open Play
91.9,44.8,Right Foot,Off T,Open Play
97.6,21.9,Left Foot,Blocked,Open Play
110.6,22.6,Left Foot,Saved,Open Play
98.6,45.3,Right Foot,Saved,Open Play
89.3,57.9,Right Foot,Blocked,Open Play
99.1,28.7,Left Foot,Goal,Open Play
110.2,36.3,Head,Off T,Open Play
102.2,46.1,Right Foot,Goal,Open Play
105.6,52.7,Left Foot,Saved,Open Play
111.1,39.3,Right Foot,Goal,Open Play
115.0,53.0,Right Foot,Saved Off Target,Open Play
108.3,26.9,Right Foot,Blocked,Open Play
93.3,54.5,Right Foot,Saved,Open Play
105.9,36.1,Left Foot,Off T,Open Play
108.4,51.9,Right Foot,Off T,Open Play
104.9,40.8,Left Foot,Goal,Open Play
99.5,28.4,Left Foot,Off T,Open Play
106.7,44.5,Right Foot,Blocked,Open Play
92.0,51.9,Left Foot,Saved,Open Play
108.6,20.2,Left Foot,Off T,Open Play
92.4,44.2,Right Foot,Goal,Open Play
104.3,23.1,Right Foot,Off T,Open Play
114.6,42.6,Head,Off T,Open Play
98.3,45.5,Left Foot,Blocked,Open Play
109.1,37.6,Right Foot,Saved,Open Play
103.0,44.1,Head,Goal,Open Play
108.9,32.7,Left Foot,Saved,Open Play
92.2,36.9,Left Foot,Blocked,Open Play
100.0,49.0,Left Foot,Off T,Open Play
114.1,32.4,Left Foot,Off T,Open Play
99.2,26.9,Left Foot,Off T,Open Play
111.9,48.5,Right Foot,Blocked,Open Play
114.3,54.1,Right Foot,Blocked,Open Play
97.7,30.1,Left Foot,Off T,Open Play
103.8,47.5,Left Foot,Off T,Open Play
94.5,39.9,Right Foot,Off T,Open Play
105.0,40.9,Left Foot,Off T,Open Play
109.1,20.4,Left Foot,Blocked,Open Play
114.3,31.1,Right Foot,Saved,Open Play
88.9,53.7,Left Foot,Off T,Free Kick
115.7,46.4,Right Foot,Goal,Open Play
89.9,57.1,Right Foot,Off T,Open Play
107.9,44.7,Head,Blocked,Open Play
114.1,35.0,Left Foot,Blocked,Open Play
114.5,37.2,Head,Off T,Open Play
108.3,40.3,Right Foot,Goal,Penalty
108.2,40.1,Right Foot,Goal,Penalty
108.1,40.1,Right Foot,Goal,Penalty
108.8,32.0,Right Foot,Goal,Open Play
105.0,58.9,Left Foot,Off T,Open Play
104.3,37.1,Head,Goal,Open Play
118.1,29.4,Left Foot,Goal,Open Play
104.9,29.7,Right Foot,Blocked,Open Play
102.2,28.5,Left Foot,Blocked,Open Play
116.1,49.2,Right Foot,Wayward,Open Play
110.6,28.6,Right Foot,Post,Open Play
120.0,39.6,Right Foot,Goal,Open Play
111.1,37.3,Head,Blocked,Open Play
100.0,53.7,Left Foot,Blocked,Open Play
105.8,32.5,Right Foot,Goal,Open Play
107.3,52.2,Left Foot,Wayward,Open Play
95.7,49.7,Right Foot,Saved,Open Play
107.1,27.1,Left Foot,Saved,Open Play
115.5,32.0,Right Foot,Saved,Open Play
106.9,41.5,Left Foot,Goal,Open Play
101.6,33.9,Left Foot,Blocked,Open Play
110.4,19.4,Left Foot,Off T,Open Play
110.9,44.1,Head,Off T,Open Play
101.1,34.9,Left Foot,Post,Free Kick
95.9,50.1,Right Foot,Off T,Open Play
100.6,55.6,Right Foot,Goal,Free Kick
98.0,16.3,Right Foot,Saved,Open Play
98.2,31.7,Left Foot,Saved,Open Play
107.5,23.4,Left Foot,Off T,Open Play
116.2,49.4,Right Foot,Goal,Open Play
95.9,42.4,Left Foot,Blocked,Open Play
94.7,41.1,Left Foot,Goal,Free Kick
114.2,50.8,Right Foot,Saved,Open Play
116.2,45.7,Right Foot,Saved,Open Play
107.1,35.4,Right Foot,Blocked,Open Play
96.3,24.5,Left Foot,Off T,Free Kick
99.1,27.3,Right Foot,Off T,Free Kick
108.1,41.3,Right Foot,Off T,Open Play
112.2,28.4,Left Foot,Saved,Open Play
105.8,33.5,Right Foot,Blocked,Open Play
107.3,34.3,Head,Off T,Open Play
103.9,34.8,Left Foot,Blocked,Open Play
108.3,43.4,Right Foot,Goal,Open Play
110.1,40.1,Head,Goal,Open Play
95.3,40.7,Head,Off T,Open Play
111.8,44.7,Right Foot,Goal,Open Play
114.2,35.3,Right Foot,Goal,Open Play
107.9,32.4,Left Foot,Off T,Open Play
96.8,26.2,Right Foot,Off T,Free Kick
108.5,52.3,Left Foot,Saved,Open Play
107.1,50.4,Right Foot,Off T,Open Play
108.0,40.0,Left Foot,Goal,Penalty
107.8,47.2,Head,Off T,Open Play
99.6,26.7,Left Foot,Saved,Open Play
115.8,29.3,Left Foot,Saved,Open Play
102.1,48.8,Left Foot,Off T,Open Play
113.3,44.5,Head,Off T,Open Play
102.7,52.5,Right Foot,Saved,Open Play
112.9,48.5,Head,Off T,Open Play
109.2,44.5,Right Foot,Goal,Open Play
113.8,20.3,Left Foot,Saved,Open Play
107.5,34.7,Right Foot,Goal,Open Play
97.9,26.7,Right Foot,Goal,Open Play
92.7,37.6,Left Foot,Blocked,Open Play
102.1,26.5,Right Foot,Goal,Open Play
112.5,29.1,Left Foot,Off T,Open Play
108.5,54.0,Left Foot,Goal,Open Play
104.6,39.9,Left Foot,Off T,Open Play
112.5,29.8,Right Foot,Blocked,Open Play
112.5,46.9,Left Foot,Off T,Open Play
95.9,30.3,Right Foot,Saved,Open Play
112.0,31.9,Left Foot,Post,Open Play
116.0,29.5,Left Foot,Saved,Open Play
97.2,34.7,Left Foot,Saved,Free Kick
108.5,43.3,Head,Saved,Open Play
73.5,24.2,Left Foot,Off T,Open Play
91.9,53.6,Left Foot,Saved,Free Kick
96.8,58.5,Left Foot,Blocked,Open Play
90.0,53.8,Right Foot,Off T,Free Kick
110.9,34.1,Head,Saved,Open Play
100.4,29.8,Left Foot,Post,Free Kick
115.3,42.5,Right Foot,Goal,Open Play
111.5,39.6,Head,Post,Open Play
109.7,47.0,Right Foot,Off T,Open Play
103.3,31.9,Left Foot,Goal,Open Play
97.2,41.9,Left Foot,Off T,Open Play
110.0,38.4,Right Foot,Wayward,Open Play
84.1,47.7,Left Foot,Blocked,Open Play
113.2,43.3,Head,Saved,Open Play
117.7,38.8,Right Foot,Goal,Open Play
103.0,48.8,Right Foot,Goal,Open Play
103.4,49.8,Left Foot,Goal,Open Play
112.7,28.6,Left Foot,Saved,Open Play
110.6,30.9,Left Foot,Off T,Open Play
108.5,47.7,Right Foot,Saved,Open Play
112.8,33.1,Left Foot,Saved,Open Play
93.9,25.2,Right Foot,Blocked,Open Play
114.6,46.6,Right Foot,Saved,Open Play
112.6,48.8,Left Foot,Off T,Open Play
98.4,25.6,Right Foot,Saved,Open Play
112.6,51.4,Right Foot,Post,Open Play
102.2,43.0,Left Foot,Goal,Open Play
110.1,34.9,Left Foot,Goal,Open Play
111.7,42.7,Head,Saved,Open Play
113.5,29.0,Left Foot,Goal,Open Play
86.4,32.9,Left Foot,Off T,Free Kick
88.7,27.7,Right Foot,Off T,Free Kick
107.6,51.1,Right Foot,Off T,Open Play
104.1,28.9,Right Foot,Blocked,Open Play
108.1,37.6,Head,Off T,Open Play
109.6,40.8,Right Foot,Blocked,Open Play
92.0,49.1,Left Foot,Saved,Open Play
107.9,40.1,Left Foot,Goal,Penalty
115.4,30.1,Head,Off T,Open Play
105.9,42.8,Head,Saved,Open Play
112.6,43.6,Head,Off T,Open Play
114.2,30.3,Right Foot,Saved,Open Play
112.7,46.2,Right Foot,Saved,Open Play
113.8,43.1,Right Foot,Off T,Open Play
108.5,41.6,Left Foot,Blocked,Open Play
111.6,36.9,Left Foot,Blocked,Open Play
91.4,53.7,Right Foot,Off T,Open Play
110.7,48.5,Head,Saved,Open Play
97.4,27.3,Right Foot,Off T,Open Play
116.3,33.4,Head,Goal,Open Play
108.1,42.6,Head,Saved,Open Play
103.1,39.4,Left Foot,Blocked,Open Play
97.1,45.6,Right Foot,Blocked,Open Play
102.0,34.2,Left Foot,Saved,Open Play
108.2,41.7,Right Foot,Goal,Open Play
102.9,41.8,Left Foot,Off T,Open Play
102.3,46.0,Left Foot,Saved,Open Play
115.1,49.5,Head,Off T,Open Play
106.3,54.0,Right Foot,Blocked,Open Play
118.7,36.5,Left Foot,Goal,Open Play
108.8,29.2,Left Foot,Off T,Open Play
110.2,40.2,Head,Off T,Open Play
98.7,28.0,Right Foot,Off T,Open Play
113.4,46.9,Right Foot,Off T,Open Play
105.3,30.5,Left Foot,Goal,Open Play
108.8,29.3,Left Foot,Blocked,Open Play
97.8,23.8,Left Foot,Off T,Open Play
88.2,39.9,Left Foot,Saved,Free Kick
108.1,40.2,Left Foot,Goal,Penalty
106.9,28.9,Left Foot,Blocked,Open Play
108.8,38.4,Head,Saved,Open Play
108.3,36.3,Head,Wayward,Open Play
114.1,51.8,Right Foot,Goal,Open Play
99.7,46.9,Right Foot,Blocked,Open Play
101.9,34.1,Right Foot,Saved,Open Play
102.3,22.5,Right Foot,Blocked,Open Play
116.2,48.1,Right Foot,Saved,Open Play
104.5,22.4,Right Foot,Saved,Open Play
117.5,50.1,Right Foot,Goal,Open Play
111.4,26.9,Right Foot,Blocked,Open Play
103.9,16.8,Right Foot,Blocked,Free Kick
107.8,52.0,Left Foot,Saved,Open Play
90.6,36.1,Left Foot,Goal,Free Kick
110.7,39.4,Head,Goal,Open Play
94.4,21.2,Right Foot,Saved,Open Play
119.4,47.6,Right Foot,Off T,Open Play
105.8,23.6,Left Foot,Off T,Open Play
101.1,39.9,Right Foot,Blocked,Open Play
107.9,30.6,Right Foot,Off T,Open Play
110.0,39.4,Head,Off T,Open Play
85.4,38.2,Right Foot,Wayward,Open Play
107.7,44.2,Left Foot,Off T,Open Play
84.4,50.3,Right Foot,Off T,Open Play
109.7,27.9,Left Foot,Saved,Open Play
100.1,47.1,Left Foot,Saved,Open Play
103.9,24.3,Right Foot,Blocked,Open Play
105.3,26.2,Left Foot,Saved,Open Play
111.6,29.3,Right Foot,Off T,Open Play
110.9,42.5,Right Foot,Blocked,Open Play
98.9,35.7,Left Foot,Blocked,Open Play
97.5,33.0,Right Foot,Blocked,Open Play
109.5,52.2,Right Foot,Saved,Open Play
109.8,36.5,Left Foot,Blocked,Open Play
109.8,36.9,Head,Post,Open Play
116.4,43.1,Right Foot,Goal,Open Play
93.6,46.2,Left Foot,Blocked,Free Kick
95.7,40.2,Right Foot,Goal,Open Play
104.2,26.6,Right Foot,Blocked,Open Play
105.1,49.6,Right Foot,Off T,Open Play
95.8,49.1,Right Foot,Saved,Open Play
110.8,54.9,Right Foot,Off T,Open Play
99.9,22.8,Left Foot,Saved,Open Play
109.7,45.1,Left Foot,Off T,Open Play
106.9,52.4,Right Foot,Off T,Open Play
116.3,43.7,Left Foot,Goal,Open Play
111.7,47.8,Right Foot,Off T,Open Play
113.2,40.3,Right Foot,Goal,Open Play
99.1,25.1,Left Foot,Goal,Open Play
91.6,53.5,Right Foot,Saved,Open Play
108.7,48.8,Right Foot,Saved,Open Play
112.8,40.0,Right Foot,Off T,Open Play
112.6,35.8,Head,Wayward,Open Play
109.6,30.7,Left Foot,Off T,Open Play
109.6,32.2,Left Foot,Saved,Open Play
113.4,40.2,Other,Off T,Open Play
107.2,51.6,Right Foot,Off T,Open Play
84.0,50.2,Right Foot,Blocked,Open Play
115.4,32.5,Left Foot,Goal,Open Play
95.6,28.8,Right Foot,Saved,Open Play
109.2,37.1,Left Foot,Off T,Open Play
107.9,42.4,Head,Wayward,Open Play
99.4,39.8,Left Foot,Saved,Open Play
97.9,29.9,Right Foot,Goal,Open Play
98.4,23.7,Left Foot,Saved,Open Play
112.2,39.5,Right Foot,Goal,Open Play
111.1,42.5,Right Foot,Goal,Open Play
114.0,45.0,Head,Post,Open Play
118.2,46.9,Right Foot,Saved,Open Play
101.2,35.5,Right Foot,Off T,Open Play
96.8,34.9,Left Foot,Blocked,Open Play
96.7,58.8,Left Foot,Off T,Open Play
107.4,34.1,Left Foot,Goal,Open Play
99.1,32.3,Left Foot,Blocked,Open Play
102.7,50.3,Right Foot,Saved,Open Play
88.8,45.6,Right Foot,Blocked,Open Play
108.1,40.1,Right Foot,Goal,Penalty
101.0,35.3,Left Foot,Saved,Open Play
107.4,27.6,Right Foot,Saved,Open Play
100.2,30.2,Left Foot,Blocked,Open Play
99.8,55.9,Left Foot,Blocked,Free Kick
100.2,50.7,Right Foot,Off T,Open Play
106.6,32.9,Left Foot,Saved,Open Play
116.7,47.6,Right Foot,Goal,Open Play
114.9,60.1,Right Foot,Off T,Open Play
109.6,55.9,Left Foot,Saved,Open Play
114.7,44.7,Head,Off T,Open Play
107.6,35.3,Right Foot,Saved,Open Play
98.4,24.2,Right Foot,Off T,Open Play
107.1,33.1,Head,Saved,Open Play
89.3,26.3,Left Foot,Off T,Open Play
108.7,46.8,Right Foot,Off T,Open Play
91.9,39.7,Right Foot,Saved,Open Play
108.0,49.7,Right Foot,Off T,Open Play
114.2,38.5,Head,Off T,Open Play
93.9,40.7,Left Foot,Blocked,Open Play
94.9,45.4,Right Foot,Off T,Open Play
112.6,32.6,Right Foot,Blocked,Open Play
113.5,32.5,Right Foot,Post,Open Play
117.3,44.5,Left Foot,Wayward,Open Play
114.0,34.3,Head,Off T,Open Play
106.6,33.0,Right Foot,Blocked,Open Play
105.6,51.1,Left Foot,Off T,Open Play
100.8,60.1,Right Foot,Off T,Open Play
57.2,34.0,Left Foot,Off T,Open Play
90.9,33.2,Right Foot,Saved,Open Play
102.9,36.5,Right Foot,Goal,Open Play
111.4,36.2,Head,Saved,Open Play
108.1,50.8,Head,Off T,Open Play
114.5,40.7,Head,Goal,Open Play
109.5,32.7,Right Foot,Goal,Open Play
112.1,29.1,Right Foot,Blocked,Open Play
93.1,48.3,Right Foot,Saved,Free Kick
111.3,50.9,Right Foot,Off T,Open Play
105.1,28.7,Right Foot,Off T,Open Play
114.8,36.0,Head,Goal,Open Play
110.9,36.4,Right Foot,Goal,Open Play
102.7,23.3,Right Foot,Saved,Open Play
102.3,50.3,Left Foot,Saved,Open Play
93.9,32.2,Right Foot,Saved,Open Play
89.4,25.0,Right Foot,Blocked,Open Play
109.1,42.8,Right Foot,Goal,Open Play
92.6,60.5,Left Foot,Off T,Open Play
99.6,39.4,Right Foot,Off T,Open Play
92.4,23.0,Right Foot,Saved,Open Play
103.3,55.7,Right Foot,Off T,Open Play
92.0,45.6,Left Foot,Blocked,Open Play
88.3,22.2,Right Foot,Saved,Open Play
105.3,30.8,Left Foot,Blocked,Open Play
89.3,20.5,Right Foot,Saved,Open Play
105.7,50.9,Left Foot,Goal,Open Play
101.3,24.4,Right Foot,Goal,Free Kick
114.1,30.2,Left Foot,Off T,Open Play
111.0,27.2,Right Foot,Off T,Open Play
88.7,45.9,Right Foot,Goal,Open Play
103.5,30.7,Right Foot,Blocked,Open Play
100.7,25.6,Left Foot,Saved,Free Kick
112.9,30.1,Right Foot,Saved,Open Play
106.8,31.8,Right Foot,Off T,Open Play
105.7,29.6,Right Foot,Blocked,Open Play
99.3,51.8,Right Foot,Off T,Open Play
106.1,33.5,Right Foot,Off T,Open Play
109.5,36.9,Left Foot,Blocked,Open Play
103.0,33.0,Left Foot,Blocked,Open Play
92.2,32.3,Right Foot,Blocked,Free Kick
99.4,59.5,Right Foot,Off T,Open Play
93.8,48.6,Left Foot,Blocked,Open Play
111.8,51.5,Right Foot,Off T,Open Play
87.3,47.5,Left Foot,Blocked,Free Kick
94.7,46.0,Left Foot,Blocked,Open Play
113.9,38.3,Right Foot,Goal,Open Play
88.6,36.1,Right Foot,Off T,Open Play
89.1,56.6,Right Foot,Off T,Open Play
108.1,42.1,Head,Saved,Open Play
115.2,35.5,Right Foot,Goal,Open Play
107.2,47.3,Right Foot,Blocked,Open Play
93.8,28.2,Left Foot,Off T,Free Kick
104.4,33.2,Left Foot,Saved,Open Play
98.9,24.3,Right Foot,Blocked,Open Play
95.1,29.2,Right Foot,Off T,Open Play
109.0,47.5,Right Foot,Saved,Open Play
102.9,26.9,Right Foot,Blocked,Open Play
108.1,40.8,Head,Saved,Open Play
107.9,33.2,Head,Off T,Open Play
93.6,47.3,Left Foot,Off T,Open Play
93.1,24.5,Left Foot,Off T,Open Play
110.5,41.9,Head,Wayward,Open Play
99.2,58.7,Left Foot,Wayward,Open Play
110.5,57.3,Right Foot,Wayward,Open Play
103.2,55.9,Right Foot,Blocked,Open Play
101.0,52.7,Right Foot,Blocked,Open Play
111.4,53.6,Right Foot,Off T,Open Play
104.6,23.4,Left Foot,Blocked,Open Play
105.8,56.8,Right Foot,Saved,Open Play
104.6,31.8,Left Foot,Off T,Open Play
108.0,40.0,Left Foot,Goal,Penalty
98.7,34.1,Right Foot,Off T,Open Play
116.6,50.1,Right Foot,Saved,Open Play
108.1,40.1,Right Foot,Blocked,Open Play
114.0,30.5,Right Foot,Saved,Open Play
110.8,30.0,Left Foot,Blocked,Open Play
100.7,54.7,Right Foot,Off T,Open Play
104.9,49.0,Right Foot,Off T,Open Play
116.2,30.3,Left Foot,Off T,Open Play
103.0,54.9,Right Foot,Off T,Open Play
106.8,29.8,Left Foot,Goal,Open Play
108.3,41.5,Left Foot,Off T,Open Play
105.1,52.0,Left Foot,Off T,Open Play
91.6,39.2,Left Foot,Off T,Free Kick
94.6,32.6,Right Foot,Blocked,Open Play
100.7,49.5,Right Foot,Blocked,Open Play
108.3,39.4,Right Foot,Goal,Open Play
86.1,46.2,Right Foot,Off T,Open Play
113.4,32.8,Left Foot,Off T,Open Play
114.0,33.4,Right Foot,Goal,Open Play
114.8,33.5,Right Foot,Goal,Open Play
104.4,20.4,Right Foot,Saved,Open Play
97.0,40.0,Left Foot,Blocked,Free Kick
100.9,51.7,Right Foot,Off T,Open Play
95.9,38.3,Right Foot,Off T,Free Kick
112.4,40.8,Head,Goal,Open Play
113.2,40.0,Right Foot,Saved,Open Play
88.1,42.5,Right Foot,Saved,Free Kick
85.5,35.3,Right Foot,Off T,Open Play
112.6,30.5,Left Foot,Off T,Open Play
100.7,53.4,Right Foot,Blocked,Open Play
104.8,50.5,Left Foot,Wayward,Open Play
105.3,23.8,Right Foot,Saved,Open Play
109.3,23.5,Left Foot,Wayward,Open Play
114.8,34.4,Right Foot,Off T,Open Play
97.7,29.4,Right Foot,Off T,Free Kick
112.7,29.5,Left Foot,Off T,Open Play
104.0,48.9,Right Foot,Off T,Open Play
106.7,27.1,Right Foot,Post,Open Play
91.2,45.8,Right Foot,Off T,Open Play
96.2,22.5,Right Foot,Off T,Free Kick
106.6,42.5,Left Foot,Wayward,Open Play
94.2,46.2,Left Foot,Saved,Open Play
98.5,33.0,Left Foot,Saved,Open Play
104.7,30.5,Left Foot,Saved,Open Play
93.4,34.3,Right Foot,Off T,Open Play
114.6,48.2,Head,Saved,Open Play
109.3,38.3,Head,Wayward,Open Play
108.1,43.3,Head,Saved,Open Play
96.7,25.6,Left Foot,Off T,Free Kick
95.8,36.3,Right Foot,Off T,Open Play
91.8,45.6,Right Foot,Blocked,Open Play
105.3,39.0,Right Foot,Goal,Open Play
107.3,39.3,Right Foot,Off T,Open Play
101.1,19.3,Right Foot,Blocked,Open Play
112.8,53.3,Right Foot,Saved,Open Play
108.7,28.7,Left Foot,Off T,Open Play
111.4,33.5,Head,Wayward,Open Play
117.2,44.8,Right Foot,Post,Open Play
95.9,23.2,Left Foot,Off T,Open Play
107.3,36.8,Left Foot,Blocked,Open Play
112.1,40.5,Head,Blocked,Open Play
97.6,42.7,Right Foot,Blocked,Open Play
103.1,31.0,Right Foot,Off T,Open Play
112.8,54.4,Right Foot,Blocked,Open Play
107.2,25.5,Left Foot,Off T,Open Play
108.7,58.5,Left Foot,Blocked,Open Play
106.8,49.9,Right Foot,Goal,Open Play
94.2,30.2,Right Foot,Goal,Free Kick
106.7,49.8,Right Foot,Off T,Open Play
114.4,32.1,Right Foot,Blocked,Open Play
97.2,20.7,Right Foot,Saved,Open Play
99.2,25.6,Right Foot,Off T,Open Play
110.8,32.5,Left Foot,Goal,Open Play
109.5,29.6,Left Foot,Saved,Open Play
107.5,41.7,Left Foot,Saved,Open Play
