location_x,location_y,body_part,outcome,shot_type
108.0,32.9,Head,Saved,Open Play
100.8,20.8,Right Foot,Saved,Open Play
113.7,45.2,Head,Goal,Open Play
104.6,37.0,Right Foot,Goal,Open Play
91.8,26.1,Right Foot,Saved,Open Play
105.5,39.9,Right Foot,Blocked,Open Play
104.9,32.0,Right Foot,Saved,Open Play
112.1,48.1,Right Foot,Saved,Open Play
106.1,54.1,Right Foot,Off T,Open Play
102.1,27.1,Left Foot,Saved,Open Play
90.8,50.2,Right Foot,Off T,Open Play
88.7,28.5,Right Foot,Off T,Free Kick
96.4,36.5,Right Foot,Off T,Open Play
90.5,32.5,Left Foot,Saved,Open Play
99.7,41.2,Right Foot,Off T,Open Play
110.1,41.7,Left Foot,Saved,Open Play
92.7,34.9,Left Foot,Blocked,Open Play
96.7,29.7,Right Foot,Off T,Open Play
114.4,52.8,Right Foot,Saved,Open Play
103.0,26.7,Left Foot,Off T,Open Play
115.0,48.2,Right Foot,Goal,Open Play
111.0,42.1,Head,Saved,Open Play
103.8,35.7,Right Foot,Saved,Open Play
98.2,58.3,Left Foot,Saved,Open Play
111.4,30.2,Right Foot,Post,Open Play
115.6,40.8,Left Foot,Wayward,Open Play
86.5,64.9,Right Foot,Off T,Open Play
96.2,30.6,Right Foot,Blocked,Open Play
94.6,47.4,Left Foot,Blocked,Free Kick
107.5,49.2,Left Foot,Blocked,Open Play
105.9,51.8,Left Foot,Blocked,Open Play
101.4,23.6,Left Foot,Blocked,Open Play
102.8,40.7,Right Foot,Blocked,Open Play
107.9,32.3,Left Foot,Post,Open Play
100.0,34.3,Left Foot,Off T,Open Play
107.9,60.7,Left Foot,Saved,Open Play
115.3,44.0,Left Foot,Goal,Open Play
108.8,33.7,Right Foot,Off T,Open Play
118.8,42.7,Right Foot,Goal,Open Play
106.5,27.4,Left Foot,Saved,Open Play
97.2,45.3,Left Foot,Off T,Open Play
98.9,39.7,Right Foot,Saved,Open Play
77.1,78.0,Right Foot,Off T,Open Play
95.8,47.7,Left Foot,Saved,Open Play
96.8,40.4,Left Foot,Goal,Open Play
109.6,39.3,Right Foot,Blocked,Open Play
109.0,24.1,Left Foot,Off T,Open Play
102.8,28.6,Right Foot,Blocked,Open Play
98.6,36.6,Left Foot,Off T,Open Play
101.2,24.1,Right Foot,Saved,Open Play
114.5,26.9,Left Foot,Saved,Open Play
96.1,22.5,Right Foot,Off T,Open Play
97.8,38.8,Left Foot,Blocked,Open Play
108.9,55.9,Right Foot,Off T,Open Play
89.8,50.0,Left Foot,Off T,Free Kick
101.5,22.1,Right Foot,Blocked,Open Play
111.0,29.4,Right Foot,Off T,Open Play
98.5,32.0,Right Foot,Saved,Open Play
105.0,35.0,Right Foot,Goal,Open Play
92.2,28.6,Left Foot,Blocked,Open Play
99.4,26.3,Left Foot,Post,Open Play
114.0,29.0,Left Foot,Blocked,Open Play
105.1,45.1,Head,Off T,Open Play
101.0,47.7,Left Foot,Goal,Open Play
111.0,53.7,Head,Off T,Open Play
85.0,51.0,Right Foot,Off T,Open Play
108.1,35.6,Head,Saved,Open Play
94.0,32.0,Right Foot,Off T,Open Play
111.0,26.0,Left Foot,Off T,Open Play
111.3,53.5,Right Foot,Off T,Open Play
114.1,33.1,Head,Off T,Open Play
101.0,42.2,Right Foot,Saved,Open Play
113.6,47.9,Left Foot,Off T,Open Play
109.0,51.0,Right Foot,Saved,Open Play
100.1,18.1,Right Foot,Saved,Open Play
90.1,38.1,Right Foot,Post,Open Play
115.7,50.2,Right Foot,Off T,Open Play
105.1,51.1,Right Foot,Blocked,Open Play
111.2,49.3,Right Foot,Off T,Open Play
109.3,39.2,Head,Saved,Open Play
115.0,33.0,Left Foot,Saved,Open Play
109.5,55.1,Right Foot,Off T,Open Play
108.1,40.1,Right Foot,Goal,Penalty
108.0,46.0,Right Foot,Wayward,Open Play
108.2,53.2,Right Foot,Off T,Open Play
100.1,33.1,Left Foot,Off T,Open Play
110.1,25.1,Left Foot,Blocked,Open Play
112.9,38.0,Head,Off T,Open Play
101.8,38.6,Right Foot,Saved,Open Play
108.1,51.1,Left Foot,Blocked,Open Play
97.0,55.1,Left Foot,Blocked,Open Play
86.5,44.2,Right Foot,Saved,Free Kick
100.1,29.8,Right Foot,Off T,Open Play
103.2,39.0,Left Foot,Saved,Open Play
114.1,49.1,Right Foot,Saved,Open Play
104.0,52.0,Right Foot,Blocked,Open Play
104.0,45.0,Right Foot,Blocked,Open Play
104.1,58.1,Right Foot,Goal,Open Play
103.3,28.7,Right Foot,Goal,Open Play
105.1,33.1,Left Foot,Blocked,Open Play
112.9,33.4,Left Foot,Wayward,Open Play
100.1,37.9,Left Foot,Off T,Open Play
104.3,32.2,Left Foot,Blocked,Open Play
117.9,30.7,Right Foot,Off T,Open Play
106.4,21.8,Left Foot,Off T,Open Play
109.5,39.8,Right Foot,Off T,Open Play
106.9,26.5,Left Foot,Blocked,Open Play
108.5,29.1,Right Foot,Goal,Open Play
101.3,30.4,Right Foot,Saved,Open Play
113.3,42.5,Left Foot,Saved,Open Play
88.2,41.0,Left Foot,Blocked,Free Kick
107.9,49.3,Left Foot,Saved,Open Play
110.2,40.5,Right Foot,Goal,Open Play
99.0,49.6,Right Foot,Off T,Open Play
104.0,47.4,Right Foot,Off T,Open Play
112.7,49.8,Head,Off T,Open Play
100.8,26.6,Left Foot,Saved,Open Play
100.3,40.3,Left Foot,Off T,Open Play
107.7,30.3,Left Foot,Blocked,Open Play
116.0,31.9,Head,Off T,Open Play
94.6,39.4,Left Foot,Saved,Open Play
104.1,52.9,Right Foot,Off T,Open Play
104.7,50.0,Right Foot,Off T,Open Play
103.4,33.0,Left Foot,Off T,Open Play
113.3,51.9,Right Foot,Blocked,Open Play
108.1,40.1,Left Foot,Goal,Penalty
93.3,40.1,Left Foot,Blocked,Open Play
107.7,51.0,Right Foot,Goal,Open Play
92.8,37.0,Left Foot,Blocked,Free Kick
111.3,45.1,Right Foot,Goal,Open Play
112.1,29.8,Left Foot,Saved,Open Play
112.6,37.4,Right Foot,Goal,Open Play
117.2,37.4,Head,Off T,Open Play
110.9,47.2,Head,Off T,Open Play
117.4,37.2,Left Foot,Goal,Open Play
100.8,27.3,Left Foot,Blocked,Open Play
102.6,49.9,Left Foot,Blocked,Open Play
97.2,59.9,Left Foot,Off T,Free Kick
100.5,36.1,Right Foot,Blocked,Open Play
91.5,50.4,Left Foot,Blocked,Open Play
118.5,32.2,Head,Goal,Open Play
94.0,52.5,Left Foot,Saved,Free Kick
97.6,53.5,Left Foot,Off T,Free Kick
91.9,41.2,Left Foot,Blocked,Free Kick
111.9,52.9,Left Foot,Goal,Open Play
97.3,44.2,Left Foot,Saved,Open Play
