location_x,location_y,body_part,outcome,type,distance,degrees_subtended
111.5,52.9,Right Foot,Off T,Open Play,15.448624534242521,16.98258565406719
113.9,26.4,Left Foot,Off T,Open Play,14.905368160498417,13.316705918518315
93.7,34.7,Left Foot,Saved,Open Play,26.828715958837833,16.6444064594191
109.2,39.1,Head,Off T,Open Play,10.837435120913064,40.41941129511731
107.8,24.7,Right Foot,Off T,Open Play,19.568597292601225,14.895257080503281
108.6,27.8,Left Foot,Wayward,Open Play,16.69730517179344,19.138408720284705
112.5,41.7,Head,Off T,Open Play,7.6902535718921525,54.28386495368449
112.4,41.0,Head,Off T,Open Play,7.665507158694714,54.88168326501548
102.5,30.1,Right Foot,Saved,Open Play,20.106217943710845,19.82844769298744
110.0,27.7,Right Foot,Wayward,Open Play,15.852129194527782,18.778338811577775
106.1,32.6,Right Foot,Off T,Open Play,15.74706321826391,25.61177021289632
116.5,31.2,Left Foot,Saved,Open Play,9.470480452437458,20.805296281122256
105.6,23.9,Left Foot,Blocked,Open Play,21.600231480241135,14.341920848310371
110.3,25.3,Right Foot,Blocked,Open Play,17.611927776367924,14.777111625978218
94.9,26.3,Right Foot,Blocked,Open Play,28.595454184188082,14.061464639342871
106.7,26.5,Left Foot,Blocked,Open Play,18.95098942008042,17.227488226450944
100.0,57.4,Left Foot,Off T,Open Play,26.50962089506374,13.114715168727077
100.0,27.6,Right Foot,Blocked,Open Play,23.532105728132365,16.56934689578304
106.3,47.0,Left Foot,Post,Open Play,15.384732691860464,26.41010816033051
88.5,41.2,Right Foot,Wayward,Open Play,31.522848856028226,14.453419665461082
108.4,30.2,Left Foot,Saved,Open Play,15.185519418182569,23.385221057213755
114.5,32.8,Right Foot,Off T,Open Play,9.060353193998568,33.654041260729485
113.2,31.4,Right Foot,Saved,Open Play,10.963576058932595,27.5678429345452
105.3,33.4,Right Foot,Goal,Open Play,16.113658802394944,25.76472410107287
106.6,46.8,Left Foot,Saved,Open Play,15.026643005009472,27.065343294537154
111.5,36.2,Left Foot,Goal,Open Play,9.310746479203479,43.88884329009398
119.2,27.8,Right Foot,Off T,Open Play,12.226201372462338,2.7450732258028996
105.7,21.6,Left Foot,Saved,Open Play,23.303433223454434,12.246493819497234
88.9,46.8,Right Foot,Saved,Open Play,31.834729463276418,14.005828828235146
92.0,28.6,Right Foot,Off T,Open Play,30.231771367222265,14.006813586702576
98.8,35.4,Right Foot,Off T,Open Play,21.693316943243147,20.45929925387997
112.7,31.2,Right Foot,Saved,Open Play,11.433722053644647,26.977057775185738
100.6,28.5,Right Foot,Saved,Open Play,22.552383466055208,17.487374125347458
107.2,48.6,Right Foot,Blocked,Open Play,15.420765220960988,24.78169277642107
105.8,21.3,Right Foot,Off T,Open Play,23.48041737278109,11.980756803398268
109.5,23.2,Right Foot,Saved,Open Play,19.81136037731887,12.577461608037881
111.9,49.0,Right Foot,Goal,Open Play,12.108261642366335,26.387551170393778
96.1,28.3,Right Foot,Off T,Open Play,26.610148440021906,15.443381485639785
112.0,41.8,Head,Saved,Open Play,8.2,51.31836312020854
109.2,36.8,Head,Saved,Open Play,11.264102272262978,37.92646232503862
111.5,39.1,Head,Blocked,Open Play,8.54751425854324,49.999394265610746
108.4,27.6,Left Foot,Saved,Open Play,16.979988221432894,18.81785547222392
