location_x,location_y,body_part,outcome,shot_type,distance,degrees_subtended
105.4,34.7,Left Foot,Saved,Open Play,14.657762448614038,27.40831790446016
111.0,31.5,Head,Wayward,Open Play,10.062305898749054,27.681061568485283
109.0,53.1,Right Foot,Off T,Open Play,14.276203977248295,17.647815774785645
97.8,43.6,Left Foot,Saved,Open Play,22.200000000000003,19.93049160682953
112.1,25.9,Left Foot,Saved,Open Play,12.822636234409838,14.452202377831341
107.6,34.0,Right Foot,Saved,Open Play,12.56025477448607,29.72214938799287
115.9,45.7,Head,Saved,Open Play,4.438468204234425,44.56660600033143
115.8,41.8,Right Foot,Goal,Open Play,4.200000000000003,81.73625228456099
98.1,28.9,Right Foot,Saved,Open Play,23.02216323458767,16.62343297749418
104.8,39.4,Left Foot,Goal,Open Play,15.200000000000003,29.44607941904262
112.4,49.3,Left Foot,Off T,Open Play,9.265527507918796,25.364417195552967
97.6,47.7,Left Foot,Off T,Open Play,22.70352395554488,18.199684867010053
109.6,39.7,Head,Off T,Open Play,10.400000000000006,42.047206259655326
106.6,41.4,Right Foot,Blocked,Open Play,13.400000000000006,32.92934909370051
87.5,44.7,Left Foot,Blocked,Open Play,32.50753758745808,13.75239448654489
110.7,33.4,Head,Saved,Open Play,9.656603957913982,33.1182374046993
110.6,31.8,Right Foot,Off T,Open Play,10.295630140987006,28.31054489618845
105.2,32.2,Left Foot,Saved,Open Play,15.280052355931241,24.165239542172248
105.4,41.7,Left Foot,Goal,Open Play,14.599999999999994,30.27869175329675
106.1,25.6,Right Foot,Saved,Open Play,17.360011520733508,16.127443304629168
100.9,21.7,Left Foot,Off T,Open Play,23.860008382228198,12.598000120080343
97.6,29.9,Right Foot,Saved,Open Play,23.215727427758974,16.95547620376281
114.0,51.8,Right Foot,Blocked,Open Play,9.840731680114033,16.774477073323887
100.5,30.8,Right Foot,Blocked,Open Play,20.18142710513803,19.163560776628014
113.3,46.6,Right Foot,Goal,Open Play,7.186793443532382,36.49479747983404
107.7,36.5,Head,Saved,Open Play,12.299999999999997,33.70082022914964
104.7,36.8,Left Foot,Blocked,Open Play,15.299999999999997,28.194255651454128
110.9,30.1,Right Foot,Saved,Open Play,10.845275469069465,23.83075844199258
102.9,31.2,Right Foot,Goal,Open Play,17.760912138738817,21.13672580547619
93.2,33.2,Right Foot,Blocked,Open Play,26.945871668958862,15.984211982273852
117.5,46.6,Right Foot,Saved,Open Play,3.6069377593742877,30.606053409520893
113.8,39.5,Head,Goal,Open Play,6.200000000000003,65.41781577921049
99.8,27.1,Right Foot,Blocked,Open Play,22.07374005464412,16.138982567732608
103.1,22.4,Right Foot,Blocked,Open Play,21.692625475031836,13.135304056203772
97.2,28.5,Right Foot,Blocked,Open Play,24.00187492676353,16.000343543171745
109.7,37.1,Left Foot,Blocked,Open Play,10.299999999999997,39.914107334399134
95.7,24.7,Right Foot,Saved,Open Play,26.798880573635905,13.518564874209213
95.3,33.0,Right Foot,Off T,Open Play,24.881519246219675,17.08043823035787
100.0,19.0,Right Foot,Off T,Open Play,26.248809496813376,10.975655172812548
107.1,38.1,Head,Wayward,Open Play,12.900000000000006,33.82377972083982
98.1,38.5,Right Foot,Goal,Open Play,21.900000000000006,20.610208664216156
95.8,42.0,Left Foot,Post,Open Play,24.200000000000003,18.649224917580355
100.4,41.6,Left Foot,Saved,Open Play,19.599999999999994,22.926453307752656
89.6,29.2,Right Foot,Off T,Open Play,31.151243955900064,13.350162468194366
97.0,59.1,Left Foot,Saved,Open Play,27.5138147118861,11.838516320230179
101.1,58.1,Right Foot,Blocked,Open Play,23.580076335754306,12.738711299115748
108.0,32.9,Head,Saved,Open Play,12.393950137062841,28.28409183164578
100.8,20.8,Right Foot,Saved,Open Play,24.48836458402235,12.02182637511187
113.7,45.2,Head,Goal,Open Play,6.413267497929582,44.81303727746096
104.6,37.0,Right Foot,Goal,Open Play,15.400000000000006,28.159243885845292
91.8,26.1,Right Foot,Saved,Open Play,29.887288267756915,13.061081440841681
105.5,39.9,Right Foot,Blocked,Open Play,14.5,30.843024301876707
104.9,32.0,Right Foot,Saved,Open Play,15.62081944073357,23.637326766488233
112.1,48.1,Right Foot,Saved,Open Play,8.900561780022658,29.431037899270393
106.1,54.1,Right Foot,Off T,Open Play,17.181967291320287,16.474473727725865
102.1,27.1,Left Foot,Saved,Open Play,19.99049774267765,16.917149589181495
90.8,50.2,Right Foot,Off T,Open Play,29.850963133540603,13.946206333973278
96.4,36.5,Right Foot,Off T,Open Play,23.599999999999994,18.843792276572948
90.5,32.5,Left Foot,Saved,Open Play,29.706901555025897,14.531179226480733
99.7,41.2,Right Foot,Off T,Open Play,20.299999999999997,22.22112586665187
110.1,41.7,Left Foot,Saved,Open Play,9.900000000000006,43.01063562057458
92.7,34.9,Left Foot,Blocked,Open Play,27.3221521846285,16.127575825959845
96.7,29.7,Right Foot,Off T,Open Play,24.136694056974743,16.408650915529037
114.4,52.8,Right Foot,Saved,Open Play,10.430723848324233,14.03624346792643
103.0,26.7,Left Foot,Off T,Open Play,19.377564346429093,16.819863062177852
115.0,48.2,Right Foot,Goal,Open Play,6.529931086925805,27.684153081277515
111.0,42.1,Head,Saved,Open Play,9.0,46.049285614067465
103.8,35.7,Right Foot,Saved,Open Play,16.202777539668933,26.067224842009118
98.2,58.3,Left Foot,Saved,Open Play,26.071632093139083,12.386179465267416
111.4,30.2,Right Foot,Post,Open Play,10.373041983911948,24.072858748031674
115.6,40.8,Left Foot,Wayward,Open Play,4.400000000000006,83.5169263071027
86.5,64.9,Right Foot,Off T,Open Play,39.48493383557835,8.824659898515655
96.2,30.6,Right Foot,Blocked,Open Play,24.404917537250558,16.59715391986486
107.5,49.2,Left Foot,Blocked,Open Play,13.538463723776049,23.972889155562914
105.9,51.8,Left Foot,Blocked,Open Play,16.113658802394937,19.303120934226943
101.4,23.6,Left Foot,Blocked,Open Play,22.35441790787673,13.95247776808494
102.8,40.7,Right Foot,Blocked,Open Play,17.200000000000003,26.14411619478471
107.9,32.3,Left Foot,Post,Open Play,12.653062870309302,27.034283735606447
100.0,34.3,Left Foot,Off T,Open Play,20.072119967756272,21.01492230725182
107.9,60.7,Left Foot,Saved,Open Play,20.62280291328024,9.82599988467829
115.3,44.0,Left Foot,Goal,Open Play,4.700000000000003,59.565764246556576
108.8,33.7,Right Foot,Off T,Open Play,11.43372205364465,30.998209113561625
118.8,42.7,Right Foot,Goal,Open Play,1.2000000000000028,127.13634346243812
106.5,27.4,Left Foot,Saved,Open Play,16.006561154726523,18.381516581402984
97.2,45.3,Left Foot,Off T,Open Play,22.837031330713714,18.926957577887176
98.9,39.7,Right Foot,Saved,Open Play,21.099999999999994,21.464664287296802
77.1,78.0,Right Foot,Off T,Open Play,54.73947387397874,5.994386845108775
95.8,47.7,Left Foot,Saved,Open Play,24.48121728999602,17.109642494632954
96.8,40.4,Left Foot,Goal,Open Play,23.200000000000003,19.559276652926528
109.6,39.3,Right Foot,Blocked,Open Play,10.400000000000006,41.92394194784689
109.0,24.1,Left Foot,Off T,Open Play,16.205246064160825,13.817129400273938
102.8,28.6,Right Foot,Blocked,Open Play,18.72431574183687,18.56068917595162
98.6,36.6,Left Foot,Off T,Open Play,21.400000000000006,20.68110148172779
101.2,24.1,Right Foot,Saved,Open Play,22.249719099350443,14.29518376817407
114.5,26.9,Left Foot,Saved,Open Play,10.63296760081587,13.318846760517774
96.1,22.5,Right Foot,Off T,Open Play,27.449225854293235,12.513877286608135
97.8,38.8,Left Foot,Blocked,Open Play,22.200000000000003,20.37150230127751
108.9,55.9,Right Foot,Off T,Open Play,16.273291000900826,13.8556114089604
101.5,22.1,Right Foot,Blocked,Open Play,23.140008643040733,12.891167575966644
111.0,29.4,Right Foot,Off T,Open Play,11.160645142642965,22.09488937584257
98.5,32.0,Right Foot,Saved,Open Play,21.86892772862904,18.628429650949585
105.0,35.0,Right Foot,Goal,Open Play,15.033296378372908,27.149681697783173
92.2,28.6,Left Foot,Blocked,Open Play,28.768037819774914,14.078801870179378
99.4,26.3,Left Foot,Post,Open Play,22.769497139814042,15.455422947338585
114.0,29.0,Left Foot,Blocked,Open Play,9.219544457292887,18.79988515865266
105.1,45.1,Head,Off T,Open Play,14.94054885203352,27.191778585968393
101.0,47.7,Left Foot,Goal,Open Play,19.356910910576616,20.604641478680822
111.0,53.7,Head,Off T,Open Play,13.232157798333576,15.90406020354763
85.0,51.0,Right Foot,Off T,Open Play,35.6931365951495,11.888658039627998
108.1,35.6,Head,Saved,Open Play,11.90672079121704,33.29240925986957
94.0,32.0,Right Foot,Off T,Open Play,26.30589287593181,16.028978306276663
111.0,26.0,Left Foot,Off T,Open Play,13.45362404707371,15.422161318738677
